Province_State,Country_Region,Confirmed,Deaths,Latitude,Longitude
,Cote d'Ivoire,-76625.0,-5303.0,7.54,-5.5471
,Croatia,185017.0,3196.0,45.1,15.2
,Cuba,6898.0,63.0,21.521757,-77.78116700000002
,Cyprus,22027.0,120.0,35.1264,33.4299
,Czechia,716266.0,11516.0,49.8175,15.473
Faroe Islands,Denmark,-4008.0,-94.0,61.8926,-6.9118
Greenland,Denmark,-53277.0,-828.0,71.7069,-42.6043
,Denmark,163450.0,1296.0,56.2639,9.5018
,Diamond Princess,-7538.0,-302.0,,
,Djibouti,-3323.0,1.0,11.8251,42.5903
,Dominica,-485.0,0.0,15.415,-61.371
,Dominican Republic,169516.0,2398.0,18.7357,-70.1627
,Ecuador,211765.0,14016.0,-1.8312,-78.1834
,Egypt,134761.0,7591.0,26.820553000000004,30.802498
,El Salvador,46219.0,1327.0,13.7942,-88.8965
,Equatorial Guinea,3563.0,77.0,1.6508,10.2679
,Eritrea,1302.0,3.0,15.1794,39.7823
,Estonia,27985.0,229.0,58.5953,25.0136
,Eswatini,9145.0,200.0,-26.5225,31.4659
,Ethiopia,-184983.0,-28602.0,9.145,40.4897
,Fiji,-8484.0,-51.0,-17.7134,178.065
,Finland,33393.0,496.0,61.92411,25.748151
French Guiana,France,11535.0,52.0,4.0,-53.0
French Polynesia,France,-25439.0,-1752.0,-17.6797,-149.4068
Guadeloupe,France,-49000.0,-2485.0,16.265,-61.551
Martinique,France,-5274.0,-184.0,14.6415,-61.0242
Mayotte,France,1979.0,-118.0,-12.8275,45.166244
New Caledonia,France,-1980.0,-57.0,-20.904305,165.618042
Reunion,France,2660.0,-224.0,-21.1151,55.5364
Saint Barthelemy,France,-15407.0,-532.0,17.9,-62.8333
Saint Pierre and Miquelon,France,-993.0,-20.0,46.8852,-56.3159
St Martin,France,-15851.0,-648.0,18.0708,-63.0501
,France,2557879.0,62455.0,46.2276,2.2137
,Gabon,443.0,-179.0,-0.8037,11.6094
,Gambia,643.0,-51.0,13.4432,-15.3101
,Georgia,221407.0,2279.0,42.3154,43.3569
Baden-Wurttemberg,Germany,238635.0,4775.0,48.6616,9.3501
Bayern,Germany,324577.0,6606.0,48.7904,11.4979
Berlin,Germany,93808.0,1085.0,52.52,13.405
Brandenburg,Germany,44000.0,1095.0,52.4125,12.5316
Bremen,Germany,-30777.0,-80.0,53.0793,8.8017
Hamburg,Germany,26465.0,382.0,53.5511,9.9937
Hessen,Germany,138355.0,2887.0,50.6521,9.1624
Mecklenburg-Vorpommern,Germany,-62722.0,-2606.0,53.6127,12.4296
Niedersachsen,Germany,99131.0,1944.0,52.6367,9.8451
Nordrhein-Westfalen,Germany,394675.0,6598.0,51.4332,7.6616
Rheinland-Pfalz,Germany,71449.0,1400.0,50.1183,7.309
Saarland,Germany,12114.0,265.0,49.3964,7.023
Sachsen,Germany,135450.0,3266.0,51.1045,13.2017
Sachsen-Anhalt,Germany,-31289.0,-1224.0,51.9503,11.6923
Schleswig-Holstein,Germany,18877.0,-189.0,54.2194,9.6961
Thuringen,Germany,41162.0,1002.0,51.011,10.8453
Unknown,Germany,-3160.0,-46.0,,
,Ghana,-390368.0,-3718.0,7.9465,-1.0232
,Greece,134638.0,4831.0,39.0742,21.8243
,Grenada,-111597.0,-315.0,12.1165,-61.679
,Guatemala,-337.0,4192.0,15.7835,-90.2308
,Guinea,9172.0,24.0,9.9456,-9.6966
,Guinea-Bissau,-30935.0,-242.0,11.8037,-15.1804
,Guyana,3946.0,162.0,4.860416000000002,-58.93018000000001
,Haiti,-167061.0,-4226.0,18.9712,-72.2852
,Holy See,-17979.0,-194.0,41.9029,12.4534
,Honduras,24198.0,96.0,15.2,-86.2419
,Hungary,256088.0,8831.0,47.1625,19.5033
,Iceland,-501.0,-11.0,64.9631,-19.0208
Andaman and Nicobar Islands,India,-33282.0,-655.0,11.225999,92.968178
Andhra Pradesh,India,838115.0,6676.0,15.9129,79.74
Arunachal Pradesh,India,-334770.0,-5781.0,27.768456,96.384277
Assam,India,139614.0,745.0,26.357149,92.830441
Bihar,India,248615.0,1358.0,25.679658,85.60484
Chandigarh,India,19682.0,316.0,30.733839,76.76827800000002
Chhattisgarh,India,213050.0,1924.0,21.264705,82.035366
Dadra and Nagar Haveli and Daman and Diu,India,-804931.0,-24901.0,20.194742,73.080901
Delhi,India,618413.0,10494.0,28.646519,77.10898
Goa,India,48541.0,725.0,15.359682,74.057396
Gujarat,India,243238.0,4302.0,22.694884,71.590923
Haryana,India,258051.0,2890.0,29.20004,76.332824
Himachal Pradesh,India,-51447.0,428.0,31.927213,77.233081
Jammu and Kashmir,India,105978.0,1640.0,33.75943,76.612638
Jharkhand,India,59365.0,-485.0,23.654536,85.557631
Karnataka,India,835381.0,11012.0,14.70518,76.166436
Kerala,India,754048.0,3038.0,10.450898,76.405749
Ladakh,India,-424522.0,-7291.0,34.1526,77.5771
Lakshadweep,India,-130589.0,-846.0,13.6999972,72.18333259999999
Madhya Pradesh,India,228245.0,3477.0,23.541513,78.289633
Maharashtra,India,1928603.0,49463.0,19.449759,76.108221
Manipur,India,-207620.0,-3188.0,24.738975,93.882541
Meghalaya,India,-6990.0,-141.0,25.536934,91.278882
Mizoram,India,-161517.0,-3275.0,23.309381,92.83822
Nagaland,India,-165650.0,-7426.0,26.06702,94.470302
Odisha,India,-47588.0,-19801.0,20.505428,84.418059
Puducherry,India,-200242.0,-6490.0,11.882658,78.86498
Punjab,India,137214.0,3554.0,30.841465000000003,75.40879
Rajasthan,India,188396.0,1721.0,26.583423,73.847973
Sikkim,India,2097.0,-345.0,27.571671,88.472712
Tamil Nadu,India,816553.0,12081.0,11.006091,78.400624
Telangana,India,284841.0,1444.0,18.1124,79.0193
Tripura,India,26096.0,-61.0,23.746783,91.743565
Unknown,India,-11986.0,-4207.0,,
Uttar Pradesh,India,581180.0,8004.0,26.925425,80.560982
Uttarakhand,India,79300.0,626.0,30.156447,79.197608
West Bengal,India,539923.0,8112.0,23.814082,87.979803
,Indonesia,642881.0,5271.0,-0.7893,113.9213
,Iran,1217886.0,54236.0,32.427908,53.68804599999999
,Iraq,594763.0,12790.0,33.223191,43.679291
,Ireland,88831.0,1945.0,53.1424,-7.6921
,Israel,418163.0,2920.0,31.046051,34.851612
Abruzzo,Italy,2391.0,-2933.0,42.35122196,13.39843823
Basilicata,Italy,5347.0,-301.0,40.63947052,15.80514834
Calabria,Italy,21677.0,338.0,38.90597598,16.59440194
Campania,Italy,185323.0,2557.0,40.83956555,14.25084984
Emilia-Romagna,Italy,159614.0,6596.0,44.49436681,11.3417208
Friuli Venezia Giulia,Italy,48224.0,1562.0,45.6494354,13.76813649
Lazio,Italy,161810.0,3623.0,41.89277044,12.48366722
Liguria,Italy,37443.0,769.0,44.41149315,8.9326992
Lombardia,Italy,476444.0,25102.0,45.46679409,9.190347404
Marche,Italy,37001.0,1503.0,43.61675973,13.5188753
Molise,Italy,6479.0,191.0,41.55774754,14.65916051
P.A. Bolzano,Italy,29459.0,738.0,46.49933453,11.35662422
P.A. Trento,Italy,18786.0,879.0,46.06893511,11.12123097
Piemonte,Italy,197714.0,7916.0,45.0732745,7.680687483
Puglia,Italy,90732.0,2464.0,41.12559576,16.86736689
Sardegna,Italy,26480.0,684.0,39.21531192,9.110616306
Sicilia,Italy,93477.0,2412.0,38.11569725,13.362356699999998
Toscana,Italy,119770.0,3663.0,43.76923077,11.25588885
Umbria,Italy,28515.0,605.0,43.10675841,12.38824698
Valle d'Aosta,Italy,6815.0,376.0,45.73750286,7.320149366
Veneto,Italy,252078.0,6436.0,45.43490485,12.33845213
,Jamaica,10531.0,249.0,18.1096,-77.2975
Aichi,Japan,16025.0,201.0,35.035551,137.211621
Akita,Japan,-513.0,-32.0,39.748679,140.408228
Aomori,Japan,460.0,8.0,40.781541,140.828896
Chiba,Japan,10984.0,117.0,35.510141,140.198917
Ehime,Japan,102.0,2.0,33.624835,132.856842
Fukui,Japan,-4662.0,-112.0,35.846614,136.22465400000002
Fukuoka,Japan,8835.0,116.0,33.526032,130.666949
Fukushima,Japan,420.0,13.0,37.378867,140.223295
Gifu,Japan,818.0,11.0,35.778671,137.055925
Gunma,Japan,1935.0,42.0,36.504479,138.985605
Hiroshima,Japan,3109.0,33.0,34.605309000000005,132.788719
Hokkaido,Japan,13079.0,452.0,43.385711,142.552318
Hyogo,Japan,9739.0,210.0,35.039913,134.828057
Ibaraki,Japan,2214.0,33.0,36.303588,140.319591
Ishikawa,Japan,554.0,45.0,36.769464,136.771027
Iwate,Japan,242.0,24.0,39.593287,141.361777
Kagawa,Japan,157.0,1.0,34.217292,133.969047
Kagoshima,Japan,871.0,13.0,31.009484000000004,130.430665
Kanagawa,Japan,19134.0,248.0,35.415312,139.338983
Kochi,Japan,-7993.0,-148.0,33.422519,133.367307
Kumamoto,Japan,1078.0,16.0,32.608154,130.74523100000002
Kyoto,Japan,4566.0,53.0,35.253815,135.443341
Mie,Japan,-2678.0,-72.0,34.508018,136.376013
Miyagi,Japan,1739.0,10.0,38.446859,140.927086
Miyazaki,Japan,620.0,8.0,32.193203999999994,131.299374
Nagano,Japan,701.0,14.0,36.132134,138.045528
Nagasaki,Japan,349.0,3.0,33.235712,129.608033
Nara,Japan,1830.0,20.0,34.317451,135.871644
Niigata,Japan,-20444.0,-361.0,37.521819,138.918647
Oita,Japan,667.0,6.0,33.200697,131.43323999999998
Okayama,Japan,969.0,-10.0,34.89246,133.826252
Okinawa,Japan,5355.0,81.0,25.768923,126.668016
Osaka,Japan,29805.0,575.0,34.620965000000005,135.507481
Port Quarantine,Japan,1814.0,0.0,,
Saga,Japan,298.0,3.0,33.286977,130.115738
Saitama,Japan,14118.0,204.0,35.997101,139.347635
Shiga,Japan,-922.0,-4.0,35.21582700000001,136.138064
Shimane,Japan,-131389.0,-1878.0,35.07076,132.55406399999998
Shizuoka,Japan,-31634.0,-536.0,34.916975,138.40778400000002
Tochigi,Japan,-18971.0,-320.0,36.689912,139.819213
Tokushima,Japan,-13403.0,-524.0,33.919178,134.242091
Tokyo,Japan,-25499.0,93.0,35.711343,139.446921
Tottori,Japan,-43839.0,-1059.0,35.359069,133.863619
Toyama,Japan,537.0,26.0,36.637464,137.26934599999998
Unknown,Japan,-1396.0,-34.0,,
Wakayama,Japan,-17161.0,-164.0,33.911879,135.505446
Yamagata,Japan,-698.0,-24.0,38.448396,140.102154
Yamaguchi,Japan,-718.0,-79.0,34.201190000000004,131.573293
Yamanashi,Japan,-14056.0,-231.0,35.612364,138.61148899999998
,Jordan,294386.0,3833.0,31.24,36.51
,Kazakhstan,198273.0,2680.0,48.0196,66.9237
,Kenya,89833.0,1546.0,-0.0236,37.9062
,"Korea, South",61760.0,915.0,35.90775700000001,127.766922
,Kosovo,36187.0,1137.0,42.602636,20.902977
,Kuwait,145008.0,759.0,29.31166,47.481766
,Kyrgyzstan,73031.0,1326.0,41.20438,74.766098
,Laos,-2736.0,-126.0,19.85627,102.495496
,Latvia,38995.0,623.0,56.8796,24.6032
,Lebanon,174428.0,1309.0,33.8547,35.8623
,Lesotho,2738.0,41.0,-29.61,28.2336
,Liberia,-3931.0,-328.0,6.4280550000000005,-9.429499
,Libya,83290.0,-1686.0,26.3351,17.228331
,Liechtenstein,-5556.0,-313.0,47.14,9.55
,Lithuania,136363.0,1037.0,55.1694,23.8813
,Luxembourg,40145.0,-507.0,49.8153,6.1296
,MS Zaandam,-7850.0,-1145.0,,
,Madagascar,-81850.0,-10330.0,-18.766947,46.869107
,Malawi,-15336.0,-1223.0,-13.2543,34.3015
,Maldives,10044.0,-389.0,3.2028,73.2207
,Mali,504.0,-180.0,17.570692,-3.996166000000001
,Malta,-19224.0,-1931.0,35.9375,14.3754
,Marshall Islands,-14889.0,-1670.0,7.1315,171.1845
,Mauritania,3910.0,-1282.0,21.0079,-10.9408
,Mauritius,-20068.0,-2463.0,-20.348404,57.552152
Aguascalientes,Mexico,-51562.0,-6713.0,21.8853,-102.2916
Baja California,Mexico,19324.0,4337.0,30.8406,-115.2838
Baja California Sur,Mexico,12445.0,-208.0,26.0444,-111.6661
Campeche,Mexico,2222.0,364.0,19.8301,-90.5349
Chiapas,Mexico,-21237.0,-1084.0,16.7569,-93.1292
Chihuahua,Mexico,22510.0,3161.0,28.633000000000006,-106.0691
Ciudad de Mexico,Mexico,303203.0,13179.0,19.4326,-99.1332
Coahuila,Mexico,42947.0,3442.0,27.0587,-101.7068
